Open,High,Low,Close,Volume
1214500,1215800,1214500,1214900,1028608
1214600,1215000,1214600,1215000,1236
1215000,1215000,1214600,1215000,3314
1215000,1215000,1214500,1215000,6396
1214900,1215000,1214600,1214800,2226
1215000,1215000,1214600,1214900,3174
1214900,1215000,1214900,1215000,601
1214900,1215000,1214700,1215000,4400
1214700,1215000,1214700,1215000,956
1214700,1215000,1214700,1214800,1608
1214900,1215000,1214700,1214700,3510
1214700,1215000,1214600,1215000,3510
1214799,1214999,1214601,1214800,1050
1214601,1214800,1214601,1214799,459
1214700,1215000,1214700,1214850,20007
1215000,1215000,1214400,1214450,18843
1214400,1214400,1214400,1214400,10
1214600,1215000,1214400,1214601,1856
1214900,1214900,1214200,1214200,4614
1214200,1214800,1214200,1214400,1530
1214400,1215000,1214100,1214100,6430
1214100,1214750,1213800,1214000,41807
1213900,1215000,1213600,1213700,4655
1213700,1215000,1213600,1213767,17103
1213900,1214100,1213900,1214000,11002
1214050,1215000,1213700,1213700,8811
1215000,1215000,1215000,1215000,1
1214000,1214000,1213800,1214000,4499
1214000,1214000,1213900,1213900,11046
1213700,1215000,1213700,1215000,1999
1213850,1215000,1213701,1215000,2177
1214000,1214200,1214000,1214200,15719
1214100,1214160,1213850,1213850,23766
1215000,1215000,1213601,1214148,3301
1214199,1214199,1214101,1214138,218
1214000,1214100,1213750,1214000,2070
1214000,1214727,1213700,1214727,2058
1214000,1214000,1213999,1213999,303
1213900,1215000,1213900,1214000,3180
1213850,1213901,1213700,1213701,1688
1213700,1213800,1213500,1213500,3352
1213600,1213800,1213500,1213500,622
1213700,1213700,1213600,1213700,900
1213500,1213700,1213500,1213700,132
1213699,1213699,1213500,1213500,191
1213690,1213699,1213500,1213699,288
1213500,1213700,1213500,1213500,849
1213500,1213700,1213500,1213600,810
1213500,1213600,1213400,1213500,3667
1213500,1213550,1213200,1213300,3536
1213283,1215000,1213200,1213300,1484
1213220,1213350,1213200,1213300,7169
1213410,1213410,1213200,1213200,4279
1213400,1213400,1213200,1213260,3768
1213350,1213388,1213200,1213388,1654
1213200,1213200,1213200,1213200,1071
1215000,1215000,1213000,1213000,4533
1213000,1213100,1213000,1213000,3320
1213000,1213100,1213000,1213000,1366
1213000,1213199,1213000,1213000,1314
1213000,1214200,1213000,1214200,2844
1213239,1213239,1213000,1213000,9632
1213090,1214700,1213090,1213110,2445
1213150,1214500,1213000,1213120,3305
1213100,1214001,1213000,1214001,1341
1214000,1214190,1213100,1213200,824
1213100,1213100,1213100,1213100,450
1213100,1213680,1213000,1213100,3765
1213000,1213000,1212500,1212500,25859
1212650,1212650,1212500,1212500,8423
1213500,1213520,1212501,1212700,2614
1212650,1212650,1212550,1212550,4000
1212600,1212800,1212500,1212800,11672
1212800,1213199,1212800,1213000,7434
1212900,1213101,1212900,1213101,1501
1213018,1213025,1212600,1213000,5745
1213000,1213000,1212691,1212691,2713
1212700,1212900,1212600,1212900,4925
1212900,1213000,1212700,1212700,3685
1212819,1213000,1212800,1212900,3723
1212900,1212900,1212800,1212900,3894
1212900,1212900,1212700,1212701,3798
1212700,1212900,1212600,1212600,9958
1212899,1212900,1212700,1212900,8155
1212900,1213000,1212700,1212701,2238
1212900,1213000,1212800,1212800,4348
1212999,1213000,1212800,1213000,5535
1212999,1212999,1212900,1212900,2101
1212999,1212999,1212899,1212900,919
1212850,1212900,1212800,1212900,2500
1213000,1213000,1212900,1212900,414
1212999,1212999,1212893,1212930,5558
1212801,1212990,1212700,1212800,18736
1212761,1215000,1212761,1212900,702
1212800,1213000,1212800,1212900,797
1212900,1215000,1212900,1212940,2674
1212901,1212963,1212900,1212963,1023
1212900,1212950,1212700,1212950,3312
1212839,1212839,1212839,1212839,1000
1212800,1212899,1212800,1212899,778
1212800,1212800,1212800,1212800,72
1212850,1213000,1212800,1213000,7330
1213000,1213000,1212801,1212801,2166
1212900,1212900,1212801,1212850,1700
1212899,1212900,1212801,1212900,11920
1212900,1212900,1212800,1212800,5686
1212801,1212801,1212600,1212600,1681
1212700,1212800,1212575,1212800,8409
1212799,1212800,1212600,1212700,13172
1212799,1212799,1212600,1212600,1058
1212600,1212799,1212500,1212600,4144
1212742,1212800,1212700,1212700,2935
1212779,1212779,1212650,1212650,1090
1212700,1212800,1212600,1212680,657
1212700,1212799,1212650,1212799,416
1212800,1212800,1212600,1212600,3435
1212700,1212800,1212500,1212500,11419
1212500,1212699,1212500,1212500,16167
1212500,1212700,1212500,1212600,2731
1212599,1212600,1212300,1212400,6197
1212400,1212600,1212300,1212300,2651
1212353,1212400,1212200,1212400,2231
1212399,1212400,1212100,1212400,8009
1212300,1212372,1212200,1212300,7247
1212300,1212300,1212150,1212200,1800
1212100,1212299,1212000,1212000,983
1212070,1212080,1211600,1211700,19831
1211500,1211750,1211200,1211200,5061
1211200,1212000,1211100,1211100,11158
1211100,1211100,1211050,1211050,7186
1211100,1211200,1211000,1211001,9678
1211000,1211200,1210700,1211200,31066
1211150,1211171,1211050,1211130,10733
1211100,1211200,1211100,1211200,1001
1211150,1211200,1211100,1211100,10704
1211200,1211450,1211153,1211450,6711
1211450,1211650,1211150,1211650,16113
1211700,1211800,1211700,1211799,785
1211700,1211700,1211401,1211401,2317
1211400,1211800,1211400,1211600,2706
1211600,1211600,1211500,1211500,1140
1211600,1212000,1211600,1212000,4752
1212000,1212030,1211700,1212000,3623
1212099,1212100,1212000,1212000,602
1212000,1212100,1211800,1212000,7619
1212000,1212050,1211950,1211950,7800
1212090,1212090,1211900,1212000,3820
1212019,1212040,1212019,1212040,300
1212099,1212100,1212000,1212000,765
1212001,1212100,1211850,1212000,9105
1212070,1212070,1211950,1211950,1110
1212000,1212000,1211700,1211700,9539
1211800,1211800,1211400,1211500,15618
1211500,1211599,1211500,1211599,206
1211500,1211600,1211500,1211500,2007
1211500,1211600,1211500,1211600,6982
1211550,1211600,1211550,1211600,4200
1211508,1211600,1211500,1211500,3400
1211428,1211428,1211300,1211300,1842
1211361,1211500,1211361,1211500,485
1211500,1211500,1211000,1211110,8155
1211100,1211200,1210900,1210900,30552
1211039,1211300,1210900,1211101,6089
1211200,1211272,1210800,1210800,3040
1210800,1210900,1210700,1210700,5160
1210700,1210890,1210700,1210774,1650
1210700,1210800,1210700,1210800,1900
1210850,1210950,1210801,1210900,2772
1210900,1210900,1210800,1210800,3013
1210828,1210850,1210600,1210700,7793
1210700,1210799,1210500,1210700,7003
1210600,1210800,1210600,1210700,4674
1210750,1210800,1210700,1210701,4242
1210799,1210800,1210700,1210750,8683
1210725,1210800,1210700,1210700,1886
1210800,1210800,1210704,1210799,3454
1210800,1210800,1210750,1210800,5753
1210800,1210999,1210700,1210900,10754
1210900,1211000,1210850,1210950,6495
1211000,1211000,1210901,1210930,3128
1211000,1211099,1210900,1211099,1501
1211100,1211100,1211000,1211099,1789
1211025,1211063,1211001,1211001,1768
1211100,1211100,1211010,1211050,1125
1211030,1211300,1211001,1211300,9845
1211400,1211400,1211400,1211400,1648
1211500,1211600,1211430,1211600,1380
1211600,1211600,1211400,1211500,7017
1211401,1211500,1211300,1211400,6292
1211499,1211600,1211400,1211400,12575
1211400,1211600,1211300,1211500,2973
1211700,1211800,1211500,1211600,3696
1211600,1211780,1211600,1211600,6358
1211600,1211700,1211500,1211500,3072
1211500,1211800,1211500,1211800,1070
1211800,1211900,1211600,1211800,4287
1211700,1211900,1211500,1211900,2514
1211800,1212000,1211800,1212000,1980
1211800,1211999,1211700,1211800,9568
1211800,1211900,1211800,1211800,2600
1211793,1211900,1211500,1211700,10990
1211701,1211800,1211700,1211800,1331
1211750,1211750,1211400,1211630,11452
1211600,1211600,1211400,1211500,3981
1211400,1211580,1211200,1211400,11254
1211500,1211500,1211400,1211400,195
1211400,1211500,1211400,1211400,1500
1211400,1211500,1211400,1211500,1100
1211500,1211500,1211400,1211400,514
1211500,1211500,1211401,1211401,1437
1211475,1211600,1211400,1211500,3077
1211600,1211600,1211429,1211429,1100
1211500,1211500,1211400,1211400,804
1211500,1211500,1211401,1211401,3303
1211500,1211500,1211500,1211500,2900
1211400,1211490,1211300,1211490,1760
1211200,1211250,1211200,1211250,1129
1211253,1211253,1211200,1211200,180
1211200,1211300,1211200,1211290,7122
1211250,1211250,1211250,1211250,1000
1211200,1211300,1211200,1211300,206
1211250,1211300,1211250,1211300,1200
1211300,1211400,1211200,1211400,10342
1211200,1211399,1211200,1211230,9335
1211240,1211260,1211200,1211200,800
1211300,1211300,1211200,1211240,1162
1211200,1211201,1211200,1211201,270
1211200,1211300,1211000,1211000,9690
1211200,1211200,1211000,1211100,922
1211140,1211190,1211000,1211100,4194
1211100,1211100,1211000,1211000,1777
1211000,1211000,1210700,1210900,14461
1210800,1210900,1210700,1210900,16340
1210700,1211000,1210700,1211000,20316
1211100,1211100,1211000,1211100,5700
1211100,1211400,1211100,1211200,8783
1211220,1211300,1211201,1211201,1266
1211300,1211400,1211300,1211400,2432
1211400,1211600,1211400,1211500,3027
1211400,1211700,1211300,1211700,2904
1211700,1211799,1211600,1211600,1277
1211700,1211700,1211600,1211600,1650
1211661,1211900,1211661,1211900,9256
1211764,1211811,1211764,1211811,950
1211801,1211900,1211800,1211800,2453
1211900,1212220,1211800,1212117,12869
